Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 301, 301)",280.3711,2012_01_tas_subset.csv,7.221100000000035
1,7 days,Monday,"(24, 301, 301)",268.17044,2012_02_tas_subset.csv,-4.979559999999992
1,7 days,Monday,"(24, 301, 301)",279.44705,2012_03_tas_subset.csv,6.297050000000013
1,7 days,Monday,"(24, 301, 301)",281.8737,2012_04_tas_subset.csv,8.723700000000008
1,7 days,Monday,"(24, 301, 301)",282.99817,2012_05_tas_subset.csv,9.848170000000039
1,7 days,Monday,"(24, 301, 301)",282.90497,2012_06_tas_subset.csv,9.754970000000014
1,7 days,Monday,"(24, 301, 301)",290.41656,2012_07_tas_subset.csv,17.266560000000027
1,7 days,Monday,"(24, 301, 301)",289.8542,2012_08_tas_subset.csv,16.704200000000014
1,7 days,Monday,"(24, 301, 301)",291.51526,2012_09_tas_subset.csv,18.365260000000035
1,7 days,Monday,"(24, 301, 301)",287.55756,2012_10_tas_subset.csv,14.407560000000046
1,7 days,Monday,"(24, 301, 301)",280.88904,2012_11_tas_subset.csv,7.739040000000045
1,7 days,Monday,"(24, 301, 301)",276.4597,2012_12_tas_subset.csv,3.3097000000000207
1,7 days,Monday,"(24, 301, 301)",280.9348,2013_01_tas_subset.csv,7.784800000000018
1,7 days,Monday,"(24, 301, 301)",279.7468,2013_02_tas_subset.csv,6.59680000000003
1,7 days,Monday,"(24, 301, 301)",277.52316,2013_03_tas_subset.csv,4.373160000000041
1,7 days,Monday,"(24, 301, 301)",274.70673,2013_04_tas_subset.csv,1.556730000000016
1,7 days,Monday,"(24, 301, 301)",287.6505,2013_05_tas_subset.csv,14.500500000000045
1,7 days,Monday,"(24, 301, 301)",284.12613,2013_06_tas_subset.csv,10.976130000000012
1,7 days,Monday,"(24, 301, 301)",288.97272,2013_07_tas_subset.csv,15.822720000000004
1,7 days,Monday,"(24, 301, 301)",295.74707,2013_08_tas_subset.csv,22.59707000000003
1,7 days,Monday,"(24, 301, 301)",290.23752,2013_09_tas_subset.csv,17.08752000000004
1,7 days,Monday,"(24, 301, 301)",287.72668,2013_10_tas_subset.csv,14.57668000000001
1,7 days,Monday,"(24, 301, 301)",281.47748,2013_11_tas_subset.csv,8.327480000000037
1,7 days,Monday,"(24, 301, 301)",278.9828,2013_12_tas_subset.csv,5.83280000000002
1,7 days,Monday,"(24, 301, 301)",283.30276,2014_01_tas_subset.csv,10.15276
1,7 days,Monday,"(24, 301, 301)",277.793,2014_02_tas_subset.csv,4.643000000000029
1,7 days,Monday,"(24, 301, 301)",278.81055,2014_03_tas_subset.csv,5.660550000000001
1,7 days,Monday,"(24, 301, 301)",287.42255,2014_04_tas_subset.csv,14.272550000000024
1,7 days,Monday,"(24, 301, 301)",286.31085,2014_05_tas_subset.csv,13.160850000000039
1,7 days,Monday,"(24, 301, 301)",288.40524,2014_06_tas_subset.csv,15.255240000000015
1,7 days,Monday,"(24, 301, 301)",290.86133,2014_07_tas_subset.csv,17.711330000000032
1,7 days,Monday,"(24, 301, 301)",292.14148,2014_08_tas_subset.csv,18.991480000000024
1,7 days,Monday,"(24, 301, 301)",289.85776,2014_09_tas_subset.csv,16.707760000000007
1,7 days,Monday,"(24, 301, 301)",287.5214,2014_10_tas_subset.csv,14.371400000000051
1,7 days,Monday,"(24, 301, 301)",285.2224,2014_11_tas_subset.csv,12.072400000000016
1,7 days,Monday,"(24, 301, 301)",275.26862,2014_12_tas_subset.csv,2.1186200000000213
1,7 days,Monday,"(24, 301, 301)",277.4417,2015_01_tas_subset.csv,4.2917000000000485
1,7 days,Monday,"(24, 301, 301)",275.93054,2015_02_tas_subset.csv,2.7805400000000304
1,7 days,Monday,"(24, 301, 301)",277.68533,2015_03_tas_subset.csv,4.5353300000000445
1,7 days,Monday,"(24, 301, 301)",281.0616,2015_04_tas_subset.csv,7.911600000000021
1,7 days,Monday,"(24, 301, 301)",286.8327,2015_05_tas_subset.csv,13.682700000000011
1,7 days,Monday,"(24, 301, 301)",285.6871,2015_06_tas_subset.csv,12.53710000000001
1,7 days,Monday,"(24, 301, 301)",291.83566,2015_07_tas_subset.csv,18.68566000000004
1,7 days,Monday,"(24, 301, 301)",295.17822,2015_08_tas_subset.csv,22.028220000000033
1,7 days,Monday,"(24, 301, 301)",288.33685,2015_09_tas_subset.csv,15.18685000000005
1,7 days,Monday,"(24, 301, 301)",287.90265,2015_10_tas_subset.csv,14.752650000000017
1,7 days,Monday,"(24, 301, 301)",283.80188,2015_11_tas_subset.csv,10.651880000000006
1,7 days,Monday,"(24, 301, 301)",284.58673,2015_12_tas_subset.csv,11.436730000000011
1,7 days,Monday,"(24, 301, 301)",278.78046,2016_01_tas_subset.csv,5.630460000000028
1,7 days,Monday,"(24, 301, 301)",283.1621,2016_02_tas_subset.csv,10.012100000000032
1,7 days,Monday,"(24, 301, 301)",276.5595,2016_03_tas_subset.csv,3.409500000000037
1,7 days,Monday,"(24, 301, 301)",285.64658,2016_04_tas_subset.csv,12.496579999999994
1,7 days,Monday,"(24, 301, 301)",284.1491,2016_05_tas_subset.csv,10.999099999999999
1,7 days,Monday,"(24, 301, 301)",290.65097,2016_06_tas_subset.csv,17.500969999999995
1,7 days,Monday,"(24, 301, 301)",290.96548,2016_07_tas_subset.csv,17.815480000000036
1,7 days,Monday,"(24, 301, 301)",290.64392,2016_08_tas_subset.csv,17.493920000000003
1,7 days,Monday,"(24, 301, 301)",291.77118,2016_09_tas_subset.csv,18.621180000000038
1,7 days,Monday,"(24, 301, 301)",287.58353,2016_10_tas_subset.csv,14.433530000000019
1,7 days,Monday,"(24, 301, 301)",277.95425,2016_11_tas_subset.csv,4.804250000000025
1,7 days,Monday,"(24, 301, 301)",275.45084,2016_12_tas_subset.csv,2.3008400000000506
