Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 301, 301)",280.73355,2012_01_tas_subset.csv,7.5835500000000025
1,7 days,Monday,"(24, 301, 301)",268.22794,2012_02_tas_subset.csv,-4.922059999999988
1,7 days,Monday,"(24, 301, 301)",278.58408,2012_03_tas_subset.csv,5.4340799999999945
1,7 days,Monday,"(24, 301, 301)",281.61877,2012_04_tas_subset.csv,8.468770000000006
1,7 days,Monday,"(24, 301, 301)",283.91235,2012_05_tas_subset.csv,10.762350000000026
1,7 days,Monday,"(24, 301, 301)",283.84982,2012_06_tas_subset.csv,10.699820000000045
1,7 days,Monday,"(24, 301, 301)",290.50406,2012_07_tas_subset.csv,17.354060000000004
1,7 days,Monday,"(24, 301, 301)",290.11023,2012_08_tas_subset.csv,16.960230000000024
1,7 days,Monday,"(24, 301, 301)",291.99738,2012_09_tas_subset.csv,18.847380000000044
1,7 days,Monday,"(24, 301, 301)",287.5014,2012_10_tas_subset.csv,14.351400000000012
1,7 days,Monday,"(24, 301, 301)",280.4424,2012_11_tas_subset.csv,7.292400000000043
1,7 days,Monday,"(24, 301, 301)",276.19797,2012_12_tas_subset.csv,3.0479700000000207
1,7 days,Monday,"(24, 301, 301)",280.88943,2013_01_tas_subset.csv,7.739430000000027
1,7 days,Monday,"(24, 301, 301)",280.4806,2013_02_tas_subset.csv,7.330600000000004
1,7 days,Monday,"(24, 301, 301)",278.34973,2013_03_tas_subset.csv,5.199730000000045
1,7 days,Monday,"(24, 301, 301)",275.25897,2013_04_tas_subset.csv,2.1089699999999993
1,7 days,Monday,"(24, 301, 301)",288.44894,2013_05_tas_subset.csv,15.298940000000016
1,7 days,Monday,"(24, 301, 301)",284.16565,2013_06_tas_subset.csv,11.01565000000005
1,7 days,Monday,"(24, 301, 301)",289.35992,2013_07_tas_subset.csv,16.20992000000001
1,7 days,Monday,"(24, 301, 301)",296.77744,2013_08_tas_subset.csv,23.627440000000036
1,7 days,Monday,"(24, 301, 301)",290.18665,2013_09_tas_subset.csv,17.03665000000001
1,7 days,Monday,"(24, 301, 301)",289.0212,2013_10_tas_subset.csv,15.871200000000044
1,7 days,Monday,"(24, 301, 301)",282.46173,2013_11_tas_subset.csv,9.311730000000011
1,7 days,Monday,"(24, 301, 301)",279.10876,2013_12_tas_subset.csv,5.958760000000041
1,7 days,Monday,"(24, 301, 301)",284.11343,2014_01_tas_subset.csv,10.963430000000017
1,7 days,Monday,"(24, 301, 301)",277.7876,2014_02_tas_subset.csv,4.63760000000002
1,7 days,Monday,"(24, 301, 301)",279.41318,2014_03_tas_subset.csv,6.263180000000034
1,7 days,Monday,"(24, 301, 301)",288.2416,2014_04_tas_subset.csv,15.091600000000028
1,7 days,Monday,"(24, 301, 301)",287.27994,2014_05_tas_subset.csv,14.129940000000033
1,7 days,Monday,"(24, 301, 301)",289.45352,2014_06_tas_subset.csv,16.30352000000005
1,7 days,Monday,"(24, 301, 301)",290.6039,2014_07_tas_subset.csv,17.453900000000033
1,7 days,Monday,"(24, 301, 301)",292.133,2014_08_tas_subset.csv,18.983000000000004
1,7 days,Monday,"(24, 301, 301)",289.72723,2014_09_tas_subset.csv,16.577230000000043
1,7 days,Monday,"(24, 301, 301)",286.50452,2014_10_tas_subset.csv,13.354520000000036
1,7 days,Monday,"(24, 301, 301)",285.5194,2014_11_tas_subset.csv,12.369400000000041
1,7 days,Monday,"(24, 301, 301)",276.21164,2014_12_tas_subset.csv,3.0616400000000112
1,7 days,Monday,"(24, 301, 301)",275.6629,2015_01_tas_subset.csv,2.512900000000002
1,7 days,Monday,"(24, 301, 301)",274.9526,2015_02_tas_subset.csv,1.8026000000000408
1,7 days,Monday,"(24, 301, 301)",278.125,2015_03_tas_subset.csv,4.975000000000023
1,7 days,Monday,"(24, 301, 301)",279.90305,2015_04_tas_subset.csv,6.75305000000003
1,7 days,Monday,"(24, 301, 301)",287.5789,2015_05_tas_subset.csv,14.428899999999999
1,7 days,Monday,"(24, 301, 301)",286.11148,2015_06_tas_subset.csv,12.961479999999995
1,7 days,Monday,"(24, 301, 301)",292.43048,2015_07_tas_subset.csv,19.28048000000001
1,7 days,Monday,"(24, 301, 301)",297.06854,2015_08_tas_subset.csv,23.918540000000007
1,7 days,Monday,"(24, 301, 301)",288.47797,2015_09_tas_subset.csv,15.32797000000005
1,7 days,Monday,"(24, 301, 301)",288.34583,2015_10_tas_subset.csv,15.19583
1,7 days,Monday,"(24, 301, 301)",284.16196,2015_11_tas_subset.csv,11.011960000000045
1,7 days,Monday,"(24, 301, 301)",283.69022,2015_12_tas_subset.csv,10.540220000000033
1,7 days,Monday,"(24, 301, 301)",279.72235,2016_01_tas_subset.csv,6.572350000000029
1,7 days,Monday,"(24, 301, 301)",283.8857,2016_02_tas_subset.csv,10.735700000000008
1,7 days,Monday,"(24, 301, 301)",275.51178,2016_03_tas_subset.csv,2.36178000000001
1,7 days,Monday,"(24, 301, 301)",286.1071,2016_04_tas_subset.csv,12.957100000000025
1,7 days,Monday,"(24, 301, 301)",284.50748,2016_05_tas_subset.csv,11.35748000000001
1,7 days,Monday,"(24, 301, 301)",292.9296,2016_06_tas_subset.csv,19.779600000000016
1,7 days,Monday,"(24, 301, 301)",290.90094,2016_07_tas_subset.csv,17.750940000000014
1,7 days,Monday,"(24, 301, 301)",290.71048,2016_08_tas_subset.csv,17.56048000000004
1,7 days,Monday,"(24, 301, 301)",291.76022,2016_09_tas_subset.csv,18.610220000000027
1,7 days,Monday,"(24, 301, 301)",287.44797,2016_10_tas_subset.csv,14.29797000000002
1,7 days,Monday,"(24, 301, 301)",278.15012,2016_11_tas_subset.csv,5.000120000000038
1,7 days,Monday,"(24, 301, 301)",274.16248,2016_12_tas_subset.csv,1.0124800000000391
