Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 301, 301)",280.20355,2012_01_tas_subset.csv,7.05355000000003
2,7 days,Monday,"(24, 301, 301)",279.47733,2012_01_tas_subset.csv,6.327330000000018
3,7 days,Monday,"(24, 301, 301)",275.68347,2012_01_tas_subset.csv,2.5334700000000225
4,7 days,Monday,"(24, 301, 301)",283.89767,2012_01_tas_subset.csv,10.747670000000028
5,7 days,Monday,"(24, 301, 301)",275.69302,2012_01_tas_subset.csv,2.5430200000000127
1,7 days,Monday,"(24, 301, 301)",284.41116,2012_02_tas_subset.csv,11.261160000000018
2,7 days,Monday,"(24, 301, 301)",283.20395,2012_02_tas_subset.csv,10.053950000000043
3,7 days,Monday,"(24, 301, 301)",282.44388,2012_02_tas_subset.csv,9.293880000000001
4,7 days,Monday,"(24, 301, 301)",281.09262,2012_02_tas_subset.csv,7.9426200000000335
1,7 days,Monday,"(24, 301, 301)",283.86526,2012_03_tas_subset.csv,10.71526
2,7 days,Monday,"(24, 301, 301)",279.00226,2012_03_tas_subset.csv,5.852260000000001
3,7 days,Monday,"(24, 301, 301)",286.79202,2012_03_tas_subset.csv,13.642020000000002
4,7 days,Monday,"(24, 301, 301)",288.83817,2012_03_tas_subset.csv,15.688170000000014
1,7 days,Monday,"(24, 301, 301)",286.723,2012_04_tas_subset.csv,13.573000000000036
2,7 days,Monday,"(24, 301, 301)",286.04718,2012_04_tas_subset.csv,12.897180000000048
3,7 days,Monday,"(24, 301, 301)",289.56088,2012_04_tas_subset.csv,16.41088000000002
4,7 days,Monday,"(24, 301, 301)",290.96973,2012_04_tas_subset.csv,17.81973000000005
5,7 days,Monday,"(24, 301, 301)",293.6319,2012_04_tas_subset.csv,20.481899999999996
1,7 days,Monday,"(24, 301, 301)",296.58582,2012_05_tas_subset.csv,23.435820000000035
2,7 days,Monday,"(24, 301, 301)",294.7984,2012_05_tas_subset.csv,21.648400000000038
3,7 days,Monday,"(24, 301, 301)",292.5398,2012_05_tas_subset.csv,19.389800000000037
4,7 days,Monday,"(24, 301, 301)",293.69315,2012_05_tas_subset.csv,20.543150000000026
1,7 days,Monday,"(24, 301, 301)",298.42593,2012_06_tas_subset.csv,25.275930000000017
2,7 days,Monday,"(24, 301, 301)",300.19534,2012_06_tas_subset.csv,27.04534000000001
3,7 days,Monday,"(24, 301, 301)",297.95905,2012_06_tas_subset.csv,24.809050000000013
