Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 251, 251)",283.0204,2012_01_tas_subset.csv,9.870400000000018
1,7 days,Monday,"(24, 251, 251)",271.80197,2012_02_tas_subset.csv,-1.3480299999999943
1,7 days,Monday,"(24, 251, 251)",279.42157,2012_03_tas_subset.csv,6.271569999999997
1,7 days,Monday,"(24, 251, 251)",286.61157,2012_04_tas_subset.csv,13.461569999999995
1,7 days,Monday,"(24, 251, 251)",288.41418,2012_05_tas_subset.csv,15.26418000000001
1,7 days,Monday,"(24, 251, 251)",290.39053,2012_06_tas_subset.csv,17.240530000000035
1,7 days,Monday,"(24, 251, 251)",291.40768,2012_07_tas_subset.csv,18.25768000000005
1,7 days,Monday,"(24, 251, 251)",292.22437,2012_08_tas_subset.csv,19.074370000000044
1,7 days,Monday,"(24, 251, 251)",293.28497,2012_09_tas_subset.csv,20.13497000000001
1,7 days,Monday,"(24, 251, 251)",287.52057,2012_10_tas_subset.csv,14.370570000000043
1,7 days,Monday,"(24, 251, 251)",283.75058,2012_11_tas_subset.csv,10.600580000000036
1,7 days,Monday,"(24, 251, 251)",284.2345,2012_12_tas_subset.csv,11.084500000000048
1,7 days,Monday,"(24, 251, 251)",280.31653,2013_01_tas_subset.csv,7.166530000000023
1,7 days,Monday,"(24, 251, 251)",283.35928,2013_02_tas_subset.csv,10.209280000000035
1,7 days,Monday,"(24, 251, 251)",282.08176,2013_03_tas_subset.csv,8.931759999999997
1,7 days,Monday,"(24, 251, 251)",282.25482,2013_04_tas_subset.csv,9.104820000000018
1,7 days,Monday,"(24, 251, 251)",291.01605,2013_05_tas_subset.csv,17.86605000000003
1,7 days,Monday,"(24, 251, 251)",289.32956,2013_06_tas_subset.csv,16.179560000000038
1,7 days,Monday,"(24, 251, 251)",294.98413,2013_07_tas_subset.csv,21.834130000000016
1,7 days,Monday,"(24, 251, 251)",295.8306,2013_08_tas_subset.csv,22.680600000000027
1,7 days,Monday,"(24, 251, 251)",293.4366,2013_09_tas_subset.csv,20.28660000000002
1,7 days,Monday,"(24, 251, 251)",288.87448,2013_10_tas_subset.csv,15.724480000000028
1,7 days,Monday,"(24, 251, 251)",286.1049,2013_11_tas_subset.csv,12.95490000000001
1,7 days,Monday,"(24, 251, 251)",277.68237,2013_12_tas_subset.csv,4.532370000000014
1,7 days,Monday,"(24, 251, 251)",284.73566,2014_01_tas_subset.csv,11.585660000000018
1,7 days,Monday,"(24, 251, 251)",278.99823,2014_02_tas_subset.csv,5.848230000000001
1,7 days,Monday,"(24, 251, 251)",280.5654,2014_03_tas_subset.csv,7.415400000000034
1,7 days,Monday,"(24, 251, 251)",289.66568,2014_04_tas_subset.csv,16.51568000000003
1,7 days,Monday,"(24, 251, 251)",290.43314,2014_05_tas_subset.csv,17.283140000000003
1,7 days,Monday,"(24, 251, 251)",290.79083,2014_06_tas_subset.csv,17.64083000000005
1,7 days,Monday,"(24, 251, 251)",291.20895,2014_07_tas_subset.csv,18.05895000000004
1,7 days,Monday,"(24, 251, 251)",293.58032,2014_08_tas_subset.csv,20.430319999999995
1,7 days,Monday,"(24, 251, 251)",293.275,2014_09_tas_subset.csv,20.125
1,7 days,Monday,"(24, 251, 251)",288.30695,2014_10_tas_subset.csv,15.156949999999995
1,7 days,Monday,"(24, 251, 251)",287.49683,2014_11_tas_subset.csv,14.346830000000011
1,7 days,Monday,"(24, 251, 251)",281.37454,2014_12_tas_subset.csv,8.224540000000047
1,7 days,Monday,"(24, 251, 251)",279.99304,2015_01_tas_subset.csv,6.84304000000003
1,7 days,Monday,"(24, 251, 251)",277.48325,2015_02_tas_subset.csv,4.333250000000021
1,7 days,Monday,"(24, 251, 251)",284.5417,2015_03_tas_subset.csv,11.391700000000014
1,7 days,Monday,"(24, 251, 251)",283.41266,2015_04_tas_subset.csv,10.26266000000004
1,7 days,Monday,"(24, 251, 251)",293.1998,2015_05_tas_subset.csv,20.049800000000005
1,7 days,Monday,"(24, 251, 251)",290.51874,2015_06_tas_subset.csv,17.368740000000003
1,7 days,Monday,"(24, 251, 251)",299.21103,2015_07_tas_subset.csv,26.061030000000017
1,7 days,Monday,"(24, 251, 251)",298.784,2015_08_tas_subset.csv,25.634000000000015
1,7 days,Monday,"(24, 251, 251)",290.27762,2015_09_tas_subset.csv,17.127620000000036
1,7 days,Monday,"(24, 251, 251)",293.16327,2015_10_tas_subset.csv,20.013270000000034
1,7 days,Monday,"(24, 251, 251)",288.7911,2015_11_tas_subset.csv,15.641099999999994
1,7 days,Monday,"(24, 251, 251)",284.34177,2015_12_tas_subset.csv,11.19177000000002
1,7 days,Monday,"(24, 251, 251)",282.3756,2016_01_tas_subset.csv,9.225600000000043
