Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 281, 281)",281.22693,2012_01_tas_subset.csv,8.076930000000004
1,7 days,Monday,"(24, 281, 281)",266.66025,2012_02_tas_subset.csv,-6.489749999999958
1,7 days,Monday,"(24, 281, 281)",279.2806,2012_03_tas_subset.csv,6.130600000000015
1,7 days,Monday,"(24, 281, 281)",280.5959,2012_04_tas_subset.csv,7.445899999999995
1,7 days,Monday,"(24, 281, 281)",283.122,2012_05_tas_subset.csv,9.972000000000037
1,7 days,Monday,"(24, 281, 281)",284.5744,2012_06_tas_subset.csv,11.424400000000048
1,7 days,Monday,"(24, 281, 281)",290.48758,2012_07_tas_subset.csv,17.337580000000003
1,7 days,Monday,"(24, 281, 281)",291.4899,2012_08_tas_subset.csv,18.3399
1,7 days,Monday,"(24, 281, 281)",290.72443,2012_09_tas_subset.csv,17.574430000000007
1,7 days,Monday,"(24, 281, 281)",285.83597,2012_10_tas_subset.csv,12.685969999999998
1,7 days,Monday,"(24, 281, 281)",279.90134,2012_11_tas_subset.csv,6.751340000000027
1,7 days,Monday,"(24, 281, 281)",275.698,2012_12_tas_subset.csv,2.548000000000002
1,7 days,Monday,"(24, 281, 281)",280.70108,2013_01_tas_subset.csv,7.551080000000013
1,7 days,Monday,"(24, 281, 281)",279.62524,2013_02_tas_subset.csv,6.475240000000042
1,7 days,Monday,"(24, 281, 281)",277.78333,2013_03_tas_subset.csv,4.633330000000001
1,7 days,Monday,"(24, 281, 281)",275.06174,2013_04_tas_subset.csv,1.9117400000000089
1,7 days,Monday,"(24, 281, 281)",291.52832,2013_05_tas_subset.csv,18.37832000000003
1,7 days,Monday,"(24, 281, 281)",284.19598,2013_06_tas_subset.csv,11.045980000000043
1,7 days,Monday,"(24, 281, 281)",291.30655,2013_07_tas_subset.csv,18.15655000000004
1,7 days,Monday,"(24, 281, 281)",297.9431,2013_08_tas_subset.csv,24.793100000000038
1,7 days,Monday,"(24, 281, 281)",289.85574,2013_09_tas_subset.csv,16.70574000000005
1,7 days,Monday,"(24, 281, 281)",287.5036,2013_10_tas_subset.csv,14.353600000000029
1,7 days,Monday,"(24, 281, 281)",282.27637,2013_11_tas_subset.csv,9.126370000000009
1,7 days,Monday,"(24, 281, 281)",277.88824,2013_12_tas_subset.csv,4.738240000000019
1,7 days,Monday,"(24, 281, 281)",282.8603,2014_01_tas_subset.csv,9.710300000000018
1,7 days,Monday,"(24, 281, 281)",276.89975,2014_02_tas_subset.csv,3.749750000000006
1,7 days,Monday,"(24, 281, 281)",278.7814,2014_03_tas_subset.csv,5.631400000000042
1,7 days,Monday,"(24, 281, 281)",289.96707,2014_04_tas_subset.csv,16.81707
1,7 days,Monday,"(24, 281, 281)",285.9127,2014_05_tas_subset.csv,12.762699999999995
1,7 days,Monday,"(24, 281, 281)",289.41574,2014_06_tas_subset.csv,16.26574000000005
1,7 days,Monday,"(24, 281, 281)",290.89413,2014_07_tas_subset.csv,17.74413000000004
1,7 days,Monday,"(24, 281, 281)",292.88623,2014_08_tas_subset.csv,19.736230000000035
1,7 days,Monday,"(24, 281, 281)",288.37964,2014_09_tas_subset.csv,15.229640000000018
1,7 days,Monday,"(24, 281, 281)",287.7439,2014_10_tas_subset.csv,14.59390000000002
1,7 days,Monday,"(24, 281, 281)",286.7515,2014_11_tas_subset.csv,13.601500000000044
1,7 days,Monday,"(24, 281, 281)",276.34903,2014_12_tas_subset.csv,3.1990300000000502
1,7 days,Monday,"(24, 281, 281)",274.6377,2015_01_tas_subset.csv,1.487700000000018
1,7 days,Monday,"(24, 281, 281)",273.85742,2015_02_tas_subset.csv,0.7074200000000133
1,7 days,Monday,"(24, 281, 281)",277.7091,2015_03_tas_subset.csv,4.559100000000001
1,7 days,Monday,"(24, 281, 281)",278.26517,2015_04_tas_subset.csv,5.115170000000035
1,7 days,Monday,"(24, 281, 281)",288.46387,2015_05_tas_subset.csv,15.313870000000009
1,7 days,Monday,"(24, 281, 281)",286.77365,2015_06_tas_subset.csv,13.623649999999998
1,7 days,Monday,"(24, 281, 281)",292.9804,2015_07_tas_subset.csv,19.830399999999997
1,7 days,Monday,"(24, 281, 281)",297.9628,2015_08_tas_subset.csv,24.81280000000004
1,7 days,Monday,"(24, 281, 281)",287.32452,2015_09_tas_subset.csv,14.17452000000003
1,7 days,Monday,"(24, 281, 281)",287.3675,2015_10_tas_subset.csv,14.21750000000003
1,7 days,Monday,"(24, 281, 281)",282.2086,2015_11_tas_subset.csv,9.058600000000013
1,7 days,Monday,"(24, 281, 281)",283.154,2015_12_tas_subset.csv,10.004000000000019
1,7 days,Monday,"(24, 281, 281)",278.82196,2016_01_tas_subset.csv,5.671960000000013
