Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 251, 251)",276.09665,2012_01_tas_subset.csv,2.9466500000000337
1,7 days,Monday,"(24, 251, 251)",277.64377,2012_02_tas_subset.csv,4.4937700000000405
1,7 days,Monday,"(24, 251, 251)",277.5368,2012_03_tas_subset.csv,4.386800000000051
1,7 days,Monday,"(24, 251, 251)",279.62576,2012_04_tas_subset.csv,6.475760000000037
1,7 days,Monday,"(24, 251, 251)",279.5333,2012_05_tas_subset.csv,6.38330000000002
1,7 days,Monday,"(24, 251, 251)",282.8077,2012_06_tas_subset.csv,9.657700000000034
1,7 days,Monday,"(24, 251, 251)",286.11588,2012_07_tas_subset.csv,12.965880000000027
1,7 days,Monday,"(24, 251, 251)",287.2136,2012_08_tas_subset.csv,14.063600000000008
1,7 days,Monday,"(24, 251, 251)",288.90906,2012_09_tas_subset.csv,15.759060000000034
1,7 days,Monday,"(24, 251, 251)",283.6438,2012_10_tas_subset.csv,10.493800000000022
1,7 days,Monday,"(24, 251, 251)",278.2791,2012_11_tas_subset.csv,5.129100000000051
1,7 days,Monday,"(24, 251, 251)",276.48886,2012_12_tas_subset.csv,3.338860000000011
1,7 days,Monday,"(24, 251, 251)",281.80444,2013_01_tas_subset.csv,8.654440000000022
1,7 days,Monday,"(24, 251, 251)",276.46692,2013_02_tas_subset.csv,3.3169200000000387
1,7 days,Monday,"(24, 251, 251)",278.05063,2013_03_tas_subset.csv,4.900630000000035
1,7 days,Monday,"(24, 251, 251)",275.04865,2013_04_tas_subset.csv,1.898650000000032
1,7 days,Monday,"(24, 251, 251)",284.4493,2013_05_tas_subset.csv,11.299300000000017
1,7 days,Monday,"(24, 251, 251)",286.25317,2013_06_tas_subset.csv,13.103170000000034
1,7 days,Monday,"(24, 251, 251)",284.93985,2013_07_tas_subset.csv,11.789850000000001
1,7 days,Monday,"(24, 251, 251)",287.903,2013_08_tas_subset.csv,14.753000000000043
