Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 251, 251)",280.3017,2012_01_tas_subset.csv,7.151700000000005
1,7 days,Monday,"(24, 251, 251)",268.82187,2012_02_tas_subset.csv,-4.328129999999987
1,7 days,Monday,"(24, 251, 251)",277.4949,2012_03_tas_subset.csv,4.3448999999999955
1,7 days,Monday,"(24, 251, 251)",281.28622,2012_04_tas_subset.csv,8.136220000000037
1,7 days,Monday,"(24, 251, 251)",284.04404,2012_05_tas_subset.csv,10.894040000000018
1,7 days,Monday,"(24, 251, 251)",284.1626,2012_06_tas_subset.csv,11.01260000000002
1,7 days,Monday,"(24, 251, 251)",290.2503,2012_07_tas_subset.csv,17.100300000000004
1,7 days,Monday,"(24, 251, 251)",289.59027,2012_08_tas_subset.csv,16.440269999999998
1,7 days,Monday,"(24, 251, 251)",291.62195,2012_09_tas_subset.csv,18.47195000000005
1,7 days,Monday,"(24, 251, 251)",287.0888,2012_10_tas_subset.csv,13.938800000000015
1,7 days,Monday,"(24, 251, 251)",280.07382,2012_11_tas_subset.csv,6.923820000000035
1,7 days,Monday,"(24, 251, 251)",277.03107,2012_12_tas_subset.csv,3.8810700000000224
1,7 days,Monday,"(24, 251, 251)",280.68805,2013_01_tas_subset.csv,7.538049999999998
1,7 days,Monday,"(24, 251, 251)",280.5143,2013_02_tas_subset.csv,7.364300000000014
1,7 days,Monday,"(24, 251, 251)",277.65524,2013_03_tas_subset.csv,4.505240000000015
1,7 days,Monday,"(24, 251, 251)",274.61246,2013_04_tas_subset.csv,1.4624600000000214
1,7 days,Monday,"(24, 251, 251)",286.95667,2013_05_tas_subset.csv,13.806669999999997
1,7 days,Monday,"(24, 251, 251)",283.72363,2013_06_tas_subset.csv,10.573630000000037
1,7 days,Monday,"(24, 251, 251)",289.0197,2013_07_tas_subset.csv,15.869700000000023
1,7 days,Monday,"(24, 251, 251)",295.5163,2013_08_tas_subset.csv,22.366300000000024
1,7 days,Monday,"(24, 251, 251)",289.83014,2013_09_tas_subset.csv,16.680139999999994
1,7 days,Monday,"(24, 251, 251)",288.60873,2013_10_tas_subset.csv,15.458730000000003
