Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 251, 251)",276.10187,2012_01_tas_subset.csv,2.951870000000042
1,7 days,Monday,"(24, 251, 251)",277.9772,2012_02_tas_subset.csv,4.827200000000005
1,7 days,Monday,"(24, 251, 251)",277.71472,2012_03_tas_subset.csv,4.5647200000000225
1,7 days,Monday,"(24, 251, 251)",280.50632,2012_04_tas_subset.csv,7.356320000000039
1,7 days,Monday,"(24, 251, 251)",278.6717,2012_05_tas_subset.csv,5.52170000000001
1,7 days,Monday,"(24, 251, 251)",283.19138,2012_06_tas_subset.csv,10.041380000000004
1,7 days,Monday,"(24, 251, 251)",286.5477,2012_07_tas_subset.csv,13.397700000000043
1,7 days,Monday,"(24, 251, 251)",287.39,2012_08_tas_subset.csv,14.240000000000009
1,7 days,Monday,"(24, 251, 251)",289.05322,2012_09_tas_subset.csv,15.903220000000033
1,7 days,Monday,"(24, 251, 251)",283.18912,2012_10_tas_subset.csv,10.039120000000025
1,7 days,Monday,"(24, 251, 251)",275.97116,2012_11_tas_subset.csv,2.8211600000000203
1,7 days,Monday,"(24, 251, 251)",276.00156,2012_12_tas_subset.csv,2.8515600000000063
1,7 days,Monday,"(24, 251, 251)",282.20383,2013_01_tas_subset.csv,9.053830000000005
1,7 days,Monday,"(24, 251, 251)",276.2661,2013_02_tas_subset.csv,3.116100000000017
1,7 days,Monday,"(24, 251, 251)",277.89166,2013_03_tas_subset.csv,4.741660000000024
1,7 days,Monday,"(24, 251, 251)",274.83963,2013_04_tas_subset.csv,1.6896300000000224
1,7 days,Monday,"(24, 251, 251)",284.26532,2013_05_tas_subset.csv,11.115319999999997
1,7 days,Monday,"(24, 251, 251)",286.61002,2013_06_tas_subset.csv,13.460020000000043
1,7 days,Monday,"(24, 251, 251)",285.13104,2013_07_tas_subset.csv,11.981040000000007
1,7 days,Monday,"(24, 251, 251)",288.38077,2013_08_tas_subset.csv,15.230770000000007
1,7 days,Monday,"(24, 251, 251)",288.73877,2013_09_tas_subset.csv,15.588770000000011
1,7 days,Monday,"(24, 251, 251)",289.0686,2013_10_tas_subset.csv,15.918600000000026
1,7 days,Monday,"(24, 251, 251)",277.3153,2013_11_tas_subset.csv,4.165300000000002
1,7 days,Monday,"(24, 251, 251)",279.68045,2013_12_tas_subset.csv,6.53045000000003
1,7 days,Monday,"(24, 251, 251)",279.66122,2014_01_tas_subset.csv,6.511220000000037
1,7 days,Monday,"(24, 251, 251)",278.51828,2014_02_tas_subset.csv,5.368280000000027
1,7 days,Monday,"(24, 251, 251)",277.17966,2014_03_tas_subset.csv,4.029660000000035
1,7 days,Monday,"(24, 251, 251)",280.698,2014_04_tas_subset.csv,7.548000000000002
1,7 days,Monday,"(24, 251, 251)",283.64688,2014_05_tas_subset.csv,10.496880000000033
1,7 days,Monday,"(24, 251, 251)",286.16586,2014_06_tas_subset.csv,13.015860000000032
1,7 days,Monday,"(24, 251, 251)",286.69418,2014_07_tas_subset.csv,13.54418000000004
1,7 days,Monday,"(24, 251, 251)",287.58,2014_08_tas_subset.csv,14.430000000000007
1,7 days,Monday,"(24, 251, 251)",287.38428,2014_09_tas_subset.csv,14.234280000000012
1,7 days,Monday,"(24, 251, 251)",283.45975,2014_10_tas_subset.csv,10.309750000000008
1,7 days,Monday,"(24, 251, 251)",280.1853,2014_11_tas_subset.csv,7.0353000000000065
1,7 days,Monday,"(24, 251, 251)",279.67523,2014_12_tas_subset.csv,6.525230000000022
1,7 days,Monday,"(24, 251, 251)",281.04016,2015_01_tas_subset.csv,7.890160000000037
1,7 days,Monday,"(24, 251, 251)",273.68533,2015_02_tas_subset.csv,0.5353300000000445
1,7 days,Monday,"(24, 251, 251)",274.9631,2015_03_tas_subset.csv,1.81310000000002
1,7 days,Monday,"(24, 251, 251)",283.38266,2015_04_tas_subset.csv,10.23266000000001
1,7 days,Monday,"(24, 251, 251)",283.26068,2015_05_tas_subset.csv,10.110680000000002
1,7 days,Monday,"(24, 251, 251)",280.7842,2015_06_tas_subset.csv,7.634200000000021
1,7 days,Monday,"(24, 251, 251)",287.7284,2015_07_tas_subset.csv,14.578400000000045
1,7 days,Monday,"(24, 251, 251)",288.3086,2015_08_tas_subset.csv,15.158600000000035
1,7 days,Monday,"(24, 251, 251)",285.64908,2015_09_tas_subset.csv,12.499080000000049
1,7 days,Monday,"(24, 251, 251)",283.87497,2015_10_tas_subset.csv,10.724970000000042
1,7 days,Monday,"(24, 251, 251)",283.4864,2015_11_tas_subset.csv,10.336400000000026
1,7 days,Monday,"(24, 251, 251)",281.58994,2015_12_tas_subset.csv,8.439940000000036
1,7 days,Monday,"(24, 251, 251)",279.42935,2016_01_tas_subset.csv,6.279350000000022
1,7 days,Monday,"(24, 251, 251)",280.12216,2016_02_tas_subset.csv,6.972160000000031
1,7 days,Monday,"(24, 251, 251)",275.01273,2016_03_tas_subset.csv,1.862729999999999
1,7 days,Monday,"(24, 251, 251)",280.38913,2016_04_tas_subset.csv,7.239130000000046
1,7 days,Monday,"(24, 251, 251)",281.8301,2016_05_tas_subset.csv,8.680100000000039
1,7 days,Monday,"(24, 251, 251)",291.68893,2016_06_tas_subset.csv,18.53893000000005
1,7 days,Monday,"(24, 251, 251)",284.75903,2016_07_tas_subset.csv,11.609030000000018
1,7 days,Monday,"(24, 251, 251)",287.16794,2016_08_tas_subset.csv,14.01794000000001
