Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 151, 151)",280.34656,2012_01_tas_subset.csv,7.196560000000034
1,7 days,Monday,"(24, 151, 151)",264.79495,2012_02_tas_subset.csv,-8.355050000000006
1,7 days,Monday,"(24, 151, 151)",275.89062,2012_03_tas_subset.csv,2.7406200000000354
1,7 days,Monday,"(24, 151, 151)",280.62405,2012_04_tas_subset.csv,7.474050000000034
1,7 days,Monday,"(24, 151, 151)",283.37912,2012_05_tas_subset.csv,10.229120000000023
1,7 days,Monday,"(24, 151, 151)",285.0914,2012_06_tas_subset.csv,11.941400000000044
1,7 days,Monday,"(24, 151, 151)",289.64877,2012_07_tas_subset.csv,16.498770000000036
1,7 days,Monday,"(24, 151, 151)",289.58408,2012_08_tas_subset.csv,16.434079999999994
1,7 days,Monday,"(24, 151, 151)",290.7221,2012_09_tas_subset.csv,17.572100000000034
1,7 days,Monday,"(24, 151, 151)",284.74832,2012_10_tas_subset.csv,11.598320000000001
1,7 days,Monday,"(24, 151, 151)",279.1079,2012_11_tas_subset.csv,5.957899999999995
1,7 days,Monday,"(24, 151, 151)",274.22644,2012_12_tas_subset.csv,1.0764400000000478
1,7 days,Monday,"(24, 151, 151)",279.0979,2013_01_tas_subset.csv,5.947900000000004
1,7 days,Monday,"(24, 151, 151)",278.39404,2013_02_tas_subset.csv,5.244040000000041
1,7 days,Monday,"(24, 151, 151)",276.9739,2013_03_tas_subset.csv,3.8239000000000374
1,7 days,Monday,"(24, 151, 151)",273.69482,2013_04_tas_subset.csv,0.5448200000000156
1,7 days,Monday,"(24, 151, 151)",289.44028,2013_05_tas_subset.csv,16.290279999999996
1,7 days,Monday,"(24, 151, 151)",283.54657,2013_06_tas_subset.csv,10.396569999999997
1,7 days,Monday,"(24, 151, 151)",290.83295,2013_07_tas_subset.csv,17.682950000000005
1,7 days,Monday,"(24, 151, 151)",297.3884,2013_08_tas_subset.csv,24.238400000000013
1,7 days,Monday,"(24, 151, 151)",288.80606,2013_09_tas_subset.csv,15.656060000000025
1,7 days,Monday,"(24, 151, 151)",286.948,2013_10_tas_subset.csv,13.798000000000002
1,7 days,Monday,"(24, 151, 151)",281.22263,2013_11_tas_subset.csv,8.072630000000004
1,7 days,Monday,"(24, 151, 151)",277.71707,2013_12_tas_subset.csv,4.567070000000001
1,7 days,Monday,"(24, 151, 151)",281.07678,2014_01_tas_subset.csv,7.926780000000008
1,7 days,Monday,"(24, 151, 151)",275.6915,2014_02_tas_subset.csv,2.541500000000042
1,7 days,Monday,"(24, 151, 151)",277.1793,2014_03_tas_subset.csv,4.029300000000035
1,7 days,Monday,"(24, 151, 151)",288.3136,2014_04_tas_subset.csv,15.16360000000003
1,7 days,Monday,"(24, 151, 151)",285.69757,2014_05_tas_subset.csv,12.547570000000007
1,7 days,Monday,"(24, 151, 151)",288.39905,2014_06_tas_subset.csv,15.249050000000011
