Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 301, 301)",282.12646,2012_01_tas_subset.csv,8.976460000000031
1,7 days,Monday,"(24, 301, 301)",267.20078,2012_02_tas_subset.csv,-5.949219999999968
1,7 days,Monday,"(24, 301, 301)",278.00864,2012_03_tas_subset.csv,4.858640000000037
1,7 days,Monday,"(24, 301, 301)",286.42337,2012_04_tas_subset.csv,13.27337
1,7 days,Monday,"(24, 301, 301)",287.1241,2012_05_tas_subset.csv,13.974100000000021
1,7 days,Monday,"(24, 301, 301)",289.1182,2012_06_tas_subset.csv,15.968200000000024
1,7 days,Monday,"(24, 301, 301)",290.30377,2012_07_tas_subset.csv,17.15377000000001
1,7 days,Monday,"(24, 301, 301)",292.3784,2012_08_tas_subset.csv,19.228400000000022
1,7 days,Monday,"(24, 301, 301)",292.2987,2012_09_tas_subset.csv,19.14870000000002
1,7 days,Monday,"(24, 301, 301)",287.99457,2012_10_tas_subset.csv,14.844570000000033
1,7 days,Monday,"(24, 301, 301)",282.80447,2012_11_tas_subset.csv,9.654470000000003
1,7 days,Monday,"(24, 301, 301)",275.85355,2012_12_tas_subset.csv,2.703550000000007
1,7 days,Monday,"(24, 301, 301)",278.7239,2013_01_tas_subset.csv,5.573900000000037
1,7 days,Monday,"(24, 301, 301)",277.67783,2013_02_tas_subset.csv,4.5278299999999945
1,7 days,Monday,"(24, 301, 301)",281.52722,2013_03_tas_subset.csv,8.377220000000023
1,7 days,Monday,"(24, 301, 301)",279.4509,2013_04_tas_subset.csv,6.300900000000013
1,7 days,Monday,"(24, 301, 301)",288.4892,2013_05_tas_subset.csv,15.339200000000005
1,7 days,Monday,"(24, 301, 301)",286.87073,2013_06_tas_subset.csv,13.720730000000003
1,7 days,Monday,"(24, 301, 301)",292.70038,2013_07_tas_subset.csv,19.55038000000002
1,7 days,Monday,"(24, 301, 301)",299.9989,2013_08_tas_subset.csv,26.848900000000015
1,7 days,Monday,"(24, 301, 301)",291.1043,2013_09_tas_subset.csv,17.954300000000046
1,7 days,Monday,"(24, 301, 301)",287.5896,2013_10_tas_subset.csv,14.439600000000041
1,7 days,Monday,"(24, 301, 301)",283.91754,2013_11_tas_subset.csv,10.767539999999997
1,7 days,Monday,"(24, 301, 301)",275.64587,2013_12_tas_subset.csv,2.495870000000025
1,7 days,Monday,"(24, 301, 301)",281.4807,2014_01_tas_subset.csv,8.330700000000036
1,7 days,Monday,"(24, 301, 301)",277.53986,2014_02_tas_subset.csv,4.389859999999999
1,7 days,Monday,"(24, 301, 301)",279.52176,2014_03_tas_subset.csv,6.371759999999995
1,7 days,Monday,"(24, 301, 301)",289.19934,2014_04_tas_subset.csv,16.04934000000003
1,7 days,Monday,"(24, 301, 301)",287.4995,2014_05_tas_subset.csv,14.349500000000035
1,7 days,Monday,"(24, 301, 301)",290.16888,2014_06_tas_subset.csv,17.018880000000024
1,7 days,Monday,"(24, 301, 301)",290.0424,2014_07_tas_subset.csv,16.89240000000001
1,7 days,Monday,"(24, 301, 301)",294.1403,2014_08_tas_subset.csv,20.990300000000047
1,7 days,Monday,"(24, 301, 301)",289.5848,2014_09_tas_subset.csv,16.434799999999996
1,7 days,Monday,"(24, 301, 301)",288.74106,2014_10_tas_subset.csv,15.591060000000027
1,7 days,Monday,"(24, 301, 301)",287.24805,2014_11_tas_subset.csv,14.09805
1,7 days,Monday,"(24, 301, 301)",278.12518,2014_12_tas_subset.csv,4.975180000000023
1,7 days,Monday,"(24, 301, 301)",275.2806,2015_01_tas_subset.csv,2.1306000000000154
1,7 days,Monday,"(24, 301, 301)",275.34464,2015_02_tas_subset.csv,2.1946400000000494
1,7 days,Monday,"(24, 301, 301)",283.7667,2015_03_tas_subset.csv,10.616700000000037
1,7 days,Monday,"(24, 301, 301)",280.049,2015_04_tas_subset.csv,6.899000000000001
1,7 days,Monday,"(24, 301, 301)",293.01987,2015_05_tas_subset.csv,19.86987000000005
1,7 days,Monday,"(24, 301, 301)",293.37952,2015_06_tas_subset.csv,20.229520000000036
1,7 days,Monday,"(24, 301, 301)",302.02704,2015_07_tas_subset.csv,28.877040000000022
1,7 days,Monday,"(24, 301, 301)",299.82816,2015_08_tas_subset.csv,26.678160000000048
1,7 days,Monday,"(24, 301, 301)",287.82776,2015_09_tas_subset.csv,14.677760000000035
1,7 days,Monday,"(24, 301, 301)",290.3818,2015_10_tas_subset.csv,17.23180000000002
1,7 days,Monday,"(24, 301, 301)",285.53763,2015_11_tas_subset.csv,12.387630000000001
1,7 days,Monday,"(24, 301, 301)",282.61893,2015_12_tas_subset.csv,9.46893
1,7 days,Monday,"(24, 301, 301)",281.26392,2016_01_tas_subset.csv,8.113920000000007
1,7 days,Monday,"(24, 301, 301)",284.56805,2016_02_tas_subset.csv,11.41805000000005
1,7 days,Monday,"(24, 301, 301)",276.37363,2016_03_tas_subset.csv,3.223630000000014
1,7 days,Monday,"(24, 301, 301)",286.13773,2016_04_tas_subset.csv,12.987729999999999
1,7 days,Monday,"(24, 301, 301)",285.45743,2016_05_tas_subset.csv,12.30743000000001
1,7 days,Monday,"(24, 301, 301)",293.32773,2016_06_tas_subset.csv,20.177729999999997
1,7 days,Monday,"(24, 301, 301)",293.6402,2016_07_tas_subset.csv,20.490200000000016
1,7 days,Monday,"(24, 301, 301)",295.09726,2016_08_tas_subset.csv,21.94726000000003
1,7 days,Monday,"(24, 301, 301)",293.85684,2016_09_tas_subset.csv,20.70684
1,7 days,Monday,"(24, 301, 301)",286.83908,2016_10_tas_subset.csv,13.689080000000047
1,7 days,Monday,"(24, 301, 301)",277.92404,2016_11_tas_subset.csv,4.774040000000014
1,7 days,Monday,"(24, 301, 301)",280.4179,2016_12_tas_subset.csv,7.267899999999997
