Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 251, 251)",276.88174,2012_01_tas_subset.csv,3.731740000000002
1,7 days,Monday,"(24, 251, 251)",277.31076,2012_02_tas_subset.csv,4.160760000000039
1,7 days,Monday,"(24, 251, 251)",277.10825,2012_03_tas_subset.csv,3.958250000000021
1,7 days,Monday,"(24, 251, 251)",280.95734,2012_04_tas_subset.csv,7.807340000000011
1,7 days,Monday,"(24, 251, 251)",279.7335,2012_05_tas_subset.csv,6.583500000000015
1,7 days,Monday,"(24, 251, 251)",282.64908,2012_06_tas_subset.csv,9.499080000000049
1,7 days,Monday,"(24, 251, 251)",287.6375,2012_07_tas_subset.csv,14.487500000000011
1,7 days,Monday,"(24, 251, 251)",288.11243,2012_08_tas_subset.csv,14.96243000000004
1,7 days,Monday,"(24, 251, 251)",289.57224,2012_09_tas_subset.csv,16.422240000000045
1,7 days,Monday,"(24, 251, 251)",284.69977,2012_10_tas_subset.csv,11.549770000000024
1,7 days,Monday,"(24, 251, 251)",278.0996,2012_11_tas_subset.csv,4.949600000000032
1,7 days,Monday,"(24, 251, 251)",275.91592,2012_12_tas_subset.csv,2.765920000000051
1,7 days,Monday,"(24, 251, 251)",281.8008,2013_01_tas_subset.csv,8.650800000000004
1,7 days,Monday,"(24, 251, 251)",277.86887,2013_02_tas_subset.csv,4.718870000000038
1,7 days,Monday,"(24, 251, 251)",277.11563,2013_03_tas_subset.csv,3.965630000000033
1,7 days,Monday,"(24, 251, 251)",275.4532,2013_04_tas_subset.csv,2.303200000000004
1,7 days,Monday,"(24, 251, 251)",285.29178,2013_05_tas_subset.csv,12.14178000000004
1,7 days,Monday,"(24, 251, 251)",286.3024,2013_06_tas_subset.csv,13.1524
1,7 days,Monday,"(24, 251, 251)",286.45764,2013_07_tas_subset.csv,13.307640000000049
1,7 days,Monday,"(24, 251, 251)",288.83612,2013_08_tas_subset.csv,15.686120000000017
1,7 days,Monday,"(24, 251, 251)",290.2867,2013_09_tas_subset.csv,17.13670000000002
1,7 days,Monday,"(24, 251, 251)",289.41617,2013_10_tas_subset.csv,16.266170000000045
1,7 days,Monday,"(24, 251, 251)",277.43927,2013_11_tas_subset.csv,4.2892700000000445
1,7 days,Monday,"(24, 251, 251)",279.38184,2013_12_tas_subset.csv,6.231840000000034
1,7 days,Monday,"(24, 251, 251)",280.5626,2014_01_tas_subset.csv,7.412599999999998
1,7 days,Monday,"(24, 251, 251)",277.35364,2014_02_tas_subset.csv,4.203640000000007
1,7 days,Monday,"(24, 251, 251)",278.6194,2014_03_tas_subset.csv,5.469400000000007
1,7 days,Monday,"(24, 251, 251)",280.88123,2014_04_tas_subset.csv,7.731230000000039
1,7 days,Monday,"(24, 251, 251)",285.10437,2014_05_tas_subset.csv,11.95437000000004
1,7 days,Monday,"(24, 251, 251)",287.9823,2014_06_tas_subset.csv,14.832300000000032
1,7 days,Monday,"(24, 251, 251)",287.72464,2014_07_tas_subset.csv,14.574640000000045
1,7 days,Monday,"(24, 251, 251)",288.97888,2014_08_tas_subset.csv,15.828880000000026
1,7 days,Monday,"(24, 251, 251)",288.15073,2014_09_tas_subset.csv,15.000730000000033
1,7 days,Monday,"(24, 251, 251)",283.05786,2014_10_tas_subset.csv,9.907860000000028
1,7 days,Monday,"(24, 251, 251)",280.86667,2014_11_tas_subset.csv,7.716670000000022
1,7 days,Monday,"(24, 251, 251)",281.10208,2014_12_tas_subset.csv,7.952080000000024
1,7 days,Monday,"(24, 251, 251)",279.6158,2015_01_tas_subset.csv,6.4658000000000015
1,7 days,Monday,"(24, 251, 251)",273.4709,2015_02_tas_subset.csv,0.32089999999999463
1,7 days,Monday,"(24, 251, 251)",275.598,2015_03_tas_subset.csv,2.448000000000036
1,7 days,Monday,"(24, 251, 251)",285.40445,2015_04_tas_subset.csv,12.25445000000002
1,7 days,Monday,"(24, 251, 251)",285.08182,2015_05_tas_subset.csv,11.931820000000016
1,7 days,Monday,"(24, 251, 251)",282.37515,2015_06_tas_subset.csv,9.225150000000042
1,7 days,Monday,"(24, 251, 251)",288.76996,2015_07_tas_subset.csv,15.619960000000049
1,7 days,Monday,"(24, 251, 251)",290.4346,2015_08_tas_subset.csv,17.28460000000001
1,7 days,Monday,"(24, 251, 251)",286.05023,2015_09_tas_subset.csv,12.900230000000022
1,7 days,Monday,"(24, 251, 251)",284.70233,2015_10_tas_subset.csv,11.55233000000004
