Set Number,Subset Type,Day of Week,Shape,Values,Source CSV,Values_Celsius
1,7 days,Monday,"(24, 401, 401)",281.83173,2012_01_tas_subset.csv,8.681730000000016
1,7 days,Monday,"(24, 401, 401)",270.55963,2012_02_tas_subset.csv,-2.5903699999999503
1,7 days,Monday,"(24, 401, 401)",278.72812,2012_03_tas_subset.csv,5.578120000000013
1,7 days,Monday,"(24, 401, 401)",283.42776,2012_04_tas_subset.csv,10.27776
1,7 days,Monday,"(24, 401, 401)",286.0676,2012_05_tas_subset.csv,12.91760000000005
1,7 days,Monday,"(24, 401, 401)",287.73587,2012_06_tas_subset.csv,14.58587
1,7 days,Monday,"(24, 401, 401)",292.0909,2012_07_tas_subset.csv,18.9409
1,7 days,Monday,"(24, 401, 401)",291.10696,2012_08_tas_subset.csv,17.956960000000038
1,7 days,Monday,"(24, 401, 401)",292.23257,2012_09_tas_subset.csv,19.082570000000032
1,7 days,Monday,"(24, 401, 401)",287.53003,2012_10_tas_subset.csv,14.380030000000033
1,7 days,Monday,"(24, 401, 401)",281.78287,2012_11_tas_subset.csv,8.632870000000025
1,7 days,Monday,"(24, 401, 401)",280.11795,2012_12_tas_subset.csv,6.96795000000003
1,7 days,Monday,"(24, 401, 401)",280.6993,2013_01_tas_subset.csv,7.5493000000000166
1,7 days,Monday,"(24, 401, 401)",282.1379,2013_02_tas_subset.csv,8.987900000000025
1,7 days,Monday,"(24, 401, 401)",280.41568,2013_03_tas_subset.csv,7.265680000000032
1,7 days,Monday,"(24, 401, 401)",277.73166,2013_04_tas_subset.csv,4.581659999999999
1,7 days,Monday,"(24, 401, 401)",288.2205,2013_05_tas_subset.csv,15.070500000000038
1,7 days,Monday,"(24, 401, 401)",285.67017,2013_06_tas_subset.csv,12.520170000000007
1,7 days,Monday,"(24, 401, 401)",293.0465,2013_07_tas_subset.csv,19.896500000000003
1,7 days,Monday,"(24, 401, 401)",298.0852,2013_08_tas_subset.csv,24.93520000000001
1,7 days,Monday,"(24, 401, 401)",290.98108,2013_09_tas_subset.csv,17.831080000000043
1,7 days,Monday,"(24, 401, 401)",289.96445,2013_10_tas_subset.csv,16.814450000000022
1,7 days,Monday,"(24, 401, 401)",284.07523,2013_11_tas_subset.csv,10.925229999999999
1,7 days,Monday,"(24, 401, 401)",280.0947,2013_12_tas_subset.csv,6.944700000000012
1,7 days,Monday,"(24, 401, 401)",285.04034,2014_01_tas_subset.csv,11.890340000000037
1,7 days,Monday,"(24, 401, 401)",278.86688,2014_02_tas_subset.csv,5.716880000000003
1,7 days,Monday,"(24, 401, 401)",280.06195,2014_03_tas_subset.csv,6.911950000000047
1,7 days,Monday,"(24, 401, 401)",289.02527,2014_04_tas_subset.csv,15.87527
1,7 days,Monday,"(24, 401, 401)",289.10312,2014_05_tas_subset.csv,15.953120000000013
1,7 days,Monday,"(24, 401, 401)",289.57562,2014_06_tas_subset.csv,16.425620000000038
1,7 days,Monday,"(24, 401, 401)",291.66464,2014_07_tas_subset.csv,18.514640000000043
1,7 days,Monday,"(24, 401, 401)",292.8297,2014_08_tas_subset.csv,19.679700000000025
1,7 days,Monday,"(24, 401, 401)",290.9447,2014_09_tas_subset.csv,17.794700000000034
1,7 days,Monday,"(24, 401, 401)",286.2939,2014_10_tas_subset.csv,13.14390000000003
